Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,year,Lower Confidence Interval,Upper Confidence Interval,country_id,region_id
1,7.587000000000001,0.03411,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997,2015,,,67,69941
2,7.5089999999999995,,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,2016,7.428,7.59,67,69941
2,7.561,0.048839999999999995,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,2015,,,51,69941
3,7.501,,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,2016,7.332999999999999,7.669,51,69941
3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,2015,,,8,69941
1,7.526,,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939,2016,7.46,7.5920000000000005,8,69941
4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,2015,,,25,69941
4,7.497999999999999,,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,2016,7.421,7.575,25,69941
6,7.406000000000001,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,2015,,,43,69941
5,7.412999999999999,,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596,2016,7.351,7.475,43,69941
7,7.377999999999999,0.027989999999999998,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,2015,,,60,69941
7,7.3389999999999995,,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,2016,7.284,7.394,60,69941
8,7.364,0.03157,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004,2015,,,1,69941
10,7.291,,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,2016,7.227,7.355,1,69941
13,7.2,0.03751,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332,2015,,,90,69941
12,7.119,,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2.6934299999999998,2016,7.045,7.193,90,69941
17,6.946000000000001,0.03499,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,1.9696099999999999,2015,,,46,69941
20,6.871,,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2.11055,2016,6.803999999999999,6.938,46,69941
19,6.937,0.03595,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003,2015,,,79,69941
18,6.928999999999999,,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2.61355,2016,6.861000000000001,6.997000000000001,79,69941
21,6.867000000000001,0.01866,1.26637,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,1.9699400000000002,2015,,,40,69941
23,6.725,,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156,2.1499900000000003,2016,6.647,6.803,40,69941
26,6.75,0.01848,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.21843,0.28214,2.1156900000000003,2015,,,65,69941
16,6.994,,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,2.5093099999999997,2016,6.93,7.058,65,69941
36,6.329,0.03468,1.23011,1.31379,0.95562,0.45951000000000003,0.06398,0.18227000000000002,2.12367,2015,,,28,69941
37,6.361000000000001,,1.34253,1.12945,0.8789600000000001,0.37545,0.06137000000000001,0.17665,2.39663,2016,6.287999999999999,6.434,28,69941
37,6.3020000000000005,0.04206,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,1.6488,2015,,,40,69941
30,6.4879999999999995,,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,2016,6.409,6.567,40,69941
50,5.9479999999999995,0.03914,1.25114,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002,2.0251799999999998,2015,,,29,69941
50,5.977,,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2.34918,2016,5.898,6.056,29,69941
67,5.689,0.0558,1.20813,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998,2015,,,75,69941
69,5.546,,1.31857,0.70697,0.8488,0.29507,0.05227999999999999,0.27906,2.04497,2016,5.442,5.65,75,69941
