year,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),country_id,sex_id,age_id,generation_id
2015,245,712691,34.38,"594,749,285,413",14981,82,4243,1758,63509
2015,12,61355,19.56,"10,553,337,673",3775,72,4243,1758,63509
2016,12,61956,19.37,"10,546,135,160",3788,72,4243,1758,63509
2015,181,673787,26.86,"1,349,034,029,453",60656,16,4243,1758,63509
2015,214,290329,73.71,"382,065,930,308",46484,90,4243,1758,63509
2016,212,307692,68.9,"390,799,991,147",46976,90,4243,1758,63509
2015,177,392775,45.06,"455,039,563,133",42830,79,4243,1758,63509
2015,470,2448560,19.19,"1,802,214,373,741",9431,84,4243,1758,63509
2015,117,282308,41.44,"243,999,477,738",14729,23,4243,1758,63509
2015,82,502228,16.33,"291,519,591,533",6552,46,4243,1758,63509
2015,104,131896,78.85,"49,425,513,611",12351,97,4243,1758,63509
2016,104,134519,77.31,"51,338,524,831",12905,97,4243,1758,63509
2015,0,22961,0.0,"19,676,167,240",24718,75,4243,1758,63509
2016,2,24004,8.33,"20,153,871,681",25098,75,4243,1758,63509
2015,145,264401,54.84,"186,829,940,546",18703,43,4243,1758,63509
2016,140,273637,51.16,"195,305,084,919",19505,43,4243,1758,63509
2015,57,178633,31.91,"301,298,464,861",55972,8,4243,1758,63509
2015,40,191306,20.91,"99,290,381,000",6832,74,4243,1758,63509
2015,20,34253,58.39,"22,566,956,982",18149,98,4243,1758,63509
2015,53,178936,29.62,"232,464,833,066",44862,43,4243,1758,63509
2015,27,87600,30.82,"13,993,546,732",4046,46,4243,1758,63509
2015,1729,3487628,49.58,"3,375,611,100,742",43201,65,4243,1758,63509
2015,70,495592,14.12,"195,541,761,243",18927,98,4243,1758,63509
2015,9,134357,6.7,"63,767,597,194",4472,1,4243,1758,63509
2015,221,241730,91.42,"122,879,042,002",13087,99,4243,1758,63509
2016,214,246437,86.84,"125,816,640,421",13448,99,4243,1758,63509
2015,0,8619,0.0,"16,942,247,374",54909,51,4243,1758,63509
2016,1,8723,11.46,"20,304,098,101",64708,51,4243,1758,63509
2015,30,168826,17.77,"299,093,839,690",39793,83,4243,1758,63509
2015,669,2646587,25.28,"1,832,868,490,534",31537,29,4243,1758,63509
2015,2297,6289365,36.52,"4,394,977,752,878",36510,23,4243,1758,63509
2015,72,156393,46.04,"184,388,432,149",11784,19,4243,1758,63509
2015,5,41233,12.13,"6,678,178,340",1285,14,4243,1758,63509
2015,33,51293,64.34,"26,972,863,394",14382,59,4243,1758,63509
2015,67,79672,84.09,"41,508,609,233",15073,44,4243,1758,63509
2016,78,80426,96.98,"42,773,029,835",15742,44,4243,1758,63509
2015,4,15011,26.65,"57,784,495,265",107456,46,4243,1758,63509
2015,0,12789,0.0,"10,574,026,838",25750,40,4243,1758,63509
2015,2,15510,12.89,"11,692,287,066",10125,95,4243,1758,63509
2016,3,15754,19.04,"12,232,463,656",10570,95,4243,1758,63509
2015,163,1427654,11.42,"1,169,622,672,463",10228,89,4243,1758,63509
2015,129,523197,24.66,"757,999,453,314",47206,60,4243,1758,63509
2016,123,541327,22.72,"777,227,541,581",48108,60,4243,1758,63509
2015,7,56061,12.49,"12,611,087,031",2303,47,4243,1758,63509
2015,32,146511,21.84,"386,663,139,403",79187,25,4243,1758,63509
2015,8,56048,14.27,"54,315,722,500",15158,11,4243,1758,63509
2015,288,902310,31.92,"477,355,617,456",13228,85,4243,1758,63509
2015,0,5591,0.0,"164,641,483,516",69937,48,4243,1758,63509
2016,0,6093,0.0,"152,451,923,077",62484,48,4243,1758,63509
2015,189,578683,32.66,"177,911,101,680",9431,86,4243,1758,63509
2016,171,579838,29.49,"187,805,922,349",10020,86,4243,1758,63509
2015,189,228745,82.62,"37,160,332,465",5492,47,4243,1758,63509
2015,15,71060,21.11,"304,097,759,674",81766,32,4243,1758,63509
2015,62,62345,99.45,"43,072,415,017",22036,2,4243,1758,63509
2015,8,285743,2.8,"317,741,039,198",6403,73,4243,1758,63509
2015,573,1693221,33.84,"1,197,789,902,774",27108,28,4243,1758,63509
2015,115,341315,33.69,"497,918,109,302",54629,1,4243,1758,63509
